datetime,city,pm25,is_extreme,hour,day_of_week,month,day_of_year,is_weekend,season,time_of_day,hazard_level,is_unhealthy,pm25_lag_1h,pm25_lag_24h,pm25_rolling_mean_24h,pm25_rolling_std_24h,target_next_hour
2023-01-01 00:00:00+00:00,Bangkok,27.0,0,0,6,1,1,1,dry,night,moderate,0,21.33333333333333,21.33333333333333,21.33333333333333,0.0,0.0
2023-01-01 01:00:00+00:00,Bangkok,27.0,0,1,6,1,1,1,dry,night,moderate,0,27.0,21.33333333333333,27.0,0.0,0.0
2023-01-01 02:00:00+00:00,Bangkok,27.0,0,2,6,1,1,1,dry,night,moderate,0,27.0,21.33333333333333,27.0,0.0,0.0
2023-01-01 03:00:00+00:00,Bangkok,27.33333333333333,0,3,6,1,1,1,dry,night,moderate,0,27.0,21.33333333333333,27.0,0.0,0.0
2023-01-01 04:00:00+00:00,Bangkok,27.33333333333333,0,4,6,1,1,1,dry,night,moderate,0,27.33333333333333,21.33333333333333,27.083333333333332,0.1666666666666643,0.0
2023-01-01 05:00:00+00:00,Bangkok,27.0,0,5,6,1,1,1,dry,night,moderate,0,27.33333333333333,21.33333333333333,27.133333333333333,0.18257418583505253,0.0
2023-01-01 06:00:00+00:00,Bangkok,27.33333333333333,0,6,6,1,1,1,dry,morning,moderate,0,27.0,21.33333333333333,27.11111111111111,0.1721325931647716,0.0
2023-01-01 07:00:00+00:00,Bangkok,27.33333333333333,0,7,6,1,1,1,dry,morning,moderate,0,27.33333333333333,21.33333333333333,27.142857142857142,0.17817416127494679,0.0
2023-01-01 08:00:00+00:00,Bangkok,27.0,0,8,6,1,1,1,dry,morning,moderate,0,27.33333333333333,21.33333333333333,27.166666666666664,0.17817416127494673,0.0
2023-01-01 09:00:00+00:00,Bangkok,27.33333333333333,0,9,6,1,1,1,dry,morning,moderate,0,27.0,21.33333333333333,27.148148148148145,0.17568209223157377,0.0
2023-01-01 10:00:00+00:00,Bangkok,27.33333333333333,0,10,6,1,1,1,dry,morning,moderate,0,27.33333333333333,21.33333333333333,27.166666666666664,0.17568209223157386,0.0
2023-01-01 11:00:00+00:00,Bangkok,28.33333333333333,0,11,6,1,1,1,dry,morning,moderate,0,27.33333333333333,21.33333333333333,27.181818181818183,0.17407765595569508,0.0
